Komoditas,TGl,Harga
Bawang Merah,01/01/20,35929.0
Bawang Merah,02/01/20,35929.0
Bawang Merah,03/01/20,35929.0
Bawang Merah,04/01/20,35929.0
Bawang Merah,05/01/20,35929.0
Bawang Merah,06/01/20,35929.0
Bawang Merah,07/01/20,35929.0
Bawang Merah,08/01/20,35929.0
Bawang Merah,09/01/20,35929.0
Bawang Merah,10/01/20,35929.0
Bawang Merah,11/01/20,35929.0
Bawang Merah,12/01/20,35929.0
Bawang Merah,13/01/20,35929.0
Bawang Merah,14/01/20,35929.0
Bawang Merah,15/01/20,35929.0
Bawang Merah,16/01/20,35929.0
Bawang Merah,17/01/20,35929.0
Bawang Merah,18/01/20,35929.0
Bawang Merah,19/01/20,35929.0
Bawang Merah,20/01/20,35929.0
Bawang Merah,21/01/20,35929.0
Bawang Merah,22/01/20,35929.0
Bawang Merah,23/01/20,35929.0
Bawang Merah,24/01/20,35929.0
Bawang Merah,25/01/20,35929.0
Bawang Merah,26/01/20,35929.0
Bawang Merah,27/01/20,35929.0
Bawang Merah,28/01/20,35929.0
Bawang Merah,29/01/20,35929.0
Bawang Merah,30/01/20,35929.0
Bawang Merah,31/01/20,35929.0
Bawang Merah,01/02/20,34535.5
Bawang Merah,02/02/20,34535.5
Bawang Merah,03/02/20,39679.0
Bawang Merah,04/02/20,40426.0
Bawang Merah,05/02/20,40881.0
Bawang Merah,06/02/20,40620.0
Bawang Merah,07/02/20,40782.0
Bawang Merah,09/02/20,34535.5
Bawang Merah,10/02/20,40917.0
Bawang Merah,11/02/20,41428.0
Bawang Merah,12/02/20,40671.0
Bawang Merah,13/02/20,40573.0
Bawang Merah,14/02/20,40444.0
Bawang Merah,15/02/20,34535.5
Bawang Merah,16/02/20,34535.5
Bawang Merah,17/02/20,39060.0
Bawang Merah,18/02/20,38462.0
Bawang Merah,19/02/20,37747.0
Bawang Merah,20/02/20,37594.0
Bawang Merah,21/02/20,37426.0
Bawang Merah,22/02/20,40000.0
Bawang Merah,23/02/20,34535.5
Bawang Merah,24/02/20,37070.0
